Day of Week,Date,Hours,Minutes,Tips
Thu,6/29/2023,4,37,$122.54
Fri,6/30/2023,5,12,$105.44
Sat,7/1/2023,4,48,$112.36
Sun,7/2/2023,0,0,$0.00
Mon,7/3/2023,0,0,$0.00
Tue,7/4/2023,5,10,$148.53
Wed,7/5/2023,0,0,$0.00
Thu,7/6/2023,4,29,$117.15
Fri,7/7/2023,5,44,$180.16
Sat,7/8/2023,7,6,$219.48
Sun,7/9/2023,7,9,$173.24
Mon,7/10/2023,0,0,$0.00
Tue,7/11/2023,4,20,$108.64
Wed,7/12/2023,0,0,$0.00
Thu,7/13/2023,4,35,$90.54
Fri,7/14/2023,5,56,$153.47
Sat,7/15/2023,9,7,$228.37
Sun,7/16/2023,6,59,$170.04
Mon,7/17/2023,0,0,$0.00
Tue,7/18/2023,7,4,$156.56
Wed,7/19/2023,0,0,$0.00
Thu,7/20/2023,4,58,$113.86
Fri,7/21/2023,5,29,$197.60
Sat,7/22/2023,9,56,$219.37
Sun,7/23/2023,5,53,$122.33
Mon,7/24/2023,0,0,$0.00
Tue,7/25/2023,4,55,$118.04
Wed,7/26/2023,0,0,$0.00
Thu,7/27/2023,4,44,$85.57
Fri,7/28/2023,5,13,$135.88
Sat,7/29/2023,5,54,$189.41
Sun,7/30/2023,10,38,$238.06
Mon,7/31/2023,4,35,$72.51
Tue,8/1/2023,4,59,$155.17
Wed,8/2/2023,4,59,$154.19
Thu,8/3/2023,5,14,$66.86
Fri,8/4/2023,0,0,$0.00
Sat,8/5/2023,0,0,$0.00
Sun,8/6/2023,0,0,$0.00
Mon,8/7/2023,0,0,$0.00
Tue,8/8/2023,0,0,$0.00
Wed,8/9/2023,0,0,$0.00
Thu,8/10/2023,0,0,$0.00
Fri,8/11/2023,0,0,$0.00
Sat,8/12/2023,6,39,$170.33
Sun,8/13/2023,6,12,$126.05
Mon,8/14/2023,0,0,$0.00
Tue,8/15/2023,0,0,$0.00
Wed,8/16/2023,0,0,$0.00
Thu,8/17/2023,0,0,$0.00
Fri,8/18/2023,5,56,$179.69
Sat,8/19/2023,5,26,$127.61
Sun,8/20/2023,5,56,$115.21
Mon,8/21/2023,0,0,$0.00
Tue,8/22/2023,5,33,$143.16
Wed,8/23/2023,0,0,$0.00
Thu,8/24/2023,5,24,$108.79
Fri,8/25/2023,5,36,$169.05
Sat,8/26/2023,5,30,$179.50
Sun,8/27/2023,5,10,$69.00
Mon,8/28/2023,0,0,$0.00
Tue,8/29/2023,0,0,$0.00
Wed,8/30/2023,5,24,$118.00
Thu,8/31/2023,0,0,$0.00
Fri,9/1/2023,5,57,$158.32
Sat,9/2/2023,6,15,$156.98
Sun,9/3/2023,5,38,$158.38
Mon,9/4/2023,4,27,$131.64
Tue,9/5/2023,0,0,$0.00
Wed,9/6/2023,0,0,$0.00
Thu,9/7/2023,0,0,$0.00
Fri,9/8/2023,5,53,$110.93
Sat,9/9/2023,6,43,$222.30
Sun,9/10/2023,5,19,$108.21
Mon,9/11/2023,4,17,$56.24
Tue,9/12/2023,0,0,$0.00
Wed,9/13/2023,5,26,$68.32
Thu,9/14/2023,5,21,$125.88
Fri,9/15/2023,0,0,$0.00
Sat,9/16/2023,0,0,$0.00
Sun,9/17/2023,5,54,$137.62
Mon,9/18/2023,0,0,$0.00
Tue,9/19/2023,0,0,$0.00
Wed,9/20/2023,4,57,$124.05
Thu,9/21/2023,0,0,$0.00
Fri,9/22/2023,4,20,$118.05
Sat,9/23/2023,5,17,$98.80
Sun,9/24/2023,4,50,$81.26
Mon,9/25/2023,5,15,$89.00
Tue,9/26/2023,0,0,$0.00
Wed,9/27/2023,0,0,$0.00
Thu,9/28/2023,0,0,$0.00
Fri,9/29/2023,5,8,$246.59
Sat,9/30/2023,5,32,$127.96
Sun,10/1/2023,6,11,$147.04
Mon,10/2/2023,0,0,$0.00
Tue,10/3/2023,0,0,$0.00
Wed,10/4/2023,0,0,$0.00
Thu,10/5/2023,6,34,$176.74
Fri,10/6/2023,5,38,$132.80
Sat,10/7/2023,7,52,$185.26
Sun,10/8/2023,5,44,$152.71
Mon,10/9/2023,0,0,$0.00
Tue,10/10/2023,0,0,$0.00
Wed,10/11/2023,5,54,$142.00
Thu,10/12/2023,7,11,$241.94
Fri,10/13/2023,0,0,$0.00
Sat,10/14/2023,5,54,$135.57
Sun,10/15/2023,7,22,$232.84
Mon,10/16/2023,0,0,$0.00
Tue,10/17/2023,0,0,$0.00
Wed,10/18/2023,4,50,$80.61
Thu,10/19/2023,0,0,$0.00
Fri,10/20/2023,6,3,$135.67
Sat,10/21/2023,7,19,$168.14
Sun,10/22/2023,5,48,$120.19
Mon,10/23/2023,0,0,0
Tue,10/24/2023,0,0,0
Wed,10/25/2023,4,59,$83.14
Thu,10/26/2023,0,0,$0.00
Fri,10/27/2023,6,52,$177.11
Sat,10/28/2023,6,41,$180.58
Sun,10/29/2023,5,44,$110.60
Mon,10/30/2023,0,0,$0.00
Tue,10/31/2023,0,0,$0.00
Wed,11/1/2023,5,2,$121.09
Thu,11/2/2023,0,0,$0.00
Fri,11/3/2023,6,24,$100.91
Sat,11/4/2023,7,1,$230.54
Sun,11/5/2023,7,5,$160.63
Mon,11/6/2023,0,0,$0.00
Tue,11/7/2023,0,0,$0.00
Wed,11/8/2023,5,18,$151.67
Thu,11/9/2023,0,0,$0.00
Fri,11/10/2023,5,46,$201.18
Sat,11/11/2023,7,25,$201.00
Sun,11/12/2023,6,21,$119.64
Mon,11/13/2023,0,0,$0.00
Tue,11/14/2023,0,0,$0.00
Wed,11/15/2023,5,6,$124.42
Thu,11/16/2023,0,0,$0.00
Fri,11/17/2023,5,41,$162.99
Sat,11/18/2023,6,20,$142.39
Sun,11/19/2023,6,2,$116.84
Mon,11/20/2023,4,15,$81.77
Tue,11/21/2023,0,0,$0.00
Wed,11/22/2023,0,0,$0.00
Thu,11/23/2023,0,0,$0.00
Fri,11/24/2023,0,0,$0.00
Sat,11/25/2023,5,38,$101.18
Sun,11/26/2023,3,25,$23.35
Mon,11/27/2023,0,0,$0.00
Tue,11/28/2023,0,0,$0.00
Wed,11/29/2023,4,4,$95.24
Thu,11/30/2023,0,0,$0.00
Fri,12/1/2023,6,18,$112.51
Sat,12/2/2023,6,18,$192.61
Sun,12/3/2023,6,1,$131.18
Mon,12/4/2023,0,0,$0.00
Tue,12/5/2023,0,0,$0.00
Wed,12/6/2023,5,7,$98.29
Thu,12/7/2023,0,0,$0.00
Fri,12/8/2023,1,5,$9.77
Sat,12/9/2023,5,54,$87.53
Sun,12/10/2023,5,11,$108.00
Mon,12/11/2023,6,25,$129.96
Tue,12/12/2023,0,0,$0.00
Wed,12/13/2023,3,16,$85.58
Thu,12/14/2023,0,0,$0.00
Fri,12/15/2023,4,57,$113.92
Sat,12/16/2023,6,34,$246.24
Sun,12/17/2023,6,23,$124.12
Mon,12/18/2023,0,0,$0.00
Tue,12/19/2023,2,44,$72.63
Wed,12/20/2023,4,32,$109.81
Thu,12/21/2023,0,0,0
Fri,12/22/2023,0,0,0
Sat,12/23/2023,0,0,0
Sun,12/24/2023,0,0,0
Mon,12/25/2023,0,0,0
Tue,12/26/2023,0,0,0
Wed,12/27/2023,0,0,0
Thu,12/28/2023,0,0,$0.00
Fri,12/29/2023,5,19,$131.51
Sat,12/30/2023,5,1,$72.00
Sun,12/31/2023,8,50,$130.19
Mon,1/1/2024,3,40,$62.97
Tue,1/2/2024,0,0,$0.00
Wed,1/3/2024,4,7,$66.30
Thu,1/4/2024,0,0,$0.00
Fri,1/5/2024,5,7,$228.74
Sat,1/6/2024,6,5,$115.72
Sun,1/7/2024,6,26,$140.45
Mon,1/8/2024,4,20,$71.65
Tue,1/9/2024,0,0,$0.00
Wed,1/10/2024,4,10,$95.18
Thu,1/11/2024,0,0,$0.00
Fri,1/12/2024,5,12,$207.05
Sat,1/13/2024,0,0,$0.00
Sun,1/14/2024,6,9,$58.34
Mon,1/15/2024,4,30,$168.76
Tue,1/16/2024,0,0,$0.00
Wed,1/17/2024,4,34,$101.35
Thu,1/18/2024,0,0,$0.00
Fri,1/19/2024,4,45,$111.09
Sat,1/20/2024,6,0,$151.20
Sun,1/21/2024,6,46,$150.02
Mon,1/22/2024,0,0,$0.00
Tue,1/23/2024,5,0,$121.84
Wed,1/24/2024,3,33,$86.04
Thu,1/25/2024,0,0,$0.00
Fri,1/26/2024,5,56,$124.36
Sat,1/27/2024,5,43,$190.63
Sun,1/28/2024,7,4,$195.52
Mon,1/29/2024,0,0,$0.00
Tue,1/30/2024,5,22,$121.64
Wed,1/31/2024,3,14,$46.51
Thu,2/1/2024,0,0,$0.00
Fri,2/2/2024,5,54,$158.70
Sat,2/3/2024,6,16,$123.01
Sun,2/4/2024,6,25,$102.55
